Nom,Pate Bière,Pate Nature,Confiture Fraise,Nutella,Miel,Sucre,Beurre,Emmental,Raclette,Oeuf,Jambon,Poulet,Confiture Abricot,Chèvre,Spéculoos,Banane,Beurre Cacahuete
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Othmamo#9345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
spdy#2508,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spdy#2508,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Yxyfer#9194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Krug#6492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Livaï#1845,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Youenn#6620,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yabsira#8258,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Krug#6492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zak#8348,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Krug#6492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiryn - Glarilak#9175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
saguira#3353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
