id_product,id_ingredient
1,3
1,4
2,5
2,6
3,4
3,6
4,3
4,6
5,7
5,8
6,5
7,4
8,3
9,6
10,7
11,2
12,9
12,10
13,9
13,10
13,11
14,11
15,10
16,9
17,10
17,11
18,9
18,11
19,12
19,9
19,10
20,12
20,9
20,10
20,11
21,12
21,11
22,12
22,10
23,12
23,9
24,12
24,10
24,11
25,12
25,9
25,11
26,13
26,9
26,10
27,13
27,9
27,10
27,11
28,13
28,11
29,13
29,10
30,13
30,9
31,13
31,10
31,11
32,13
32,9
32,11
33,12
33,13
33,9
33,10
34,12
34,13
34,9
34,10
34,11
35,12
35,13
35,11
36,12
36,13
36,10
37,12
37,13
37,9
38,12
38,13
38,10
38,11
39,12
39,13
39,9
39,11
42,6
42,4
40,2
40,5
48,2
48,4
48,6
49,4
52,4
53,4
55,4
54,2
54,8
54,7
57,6
57,4
58,2
58,3
58,4
58,5
58,6
58,7
58,12
59,4
61,4
60,5
60,6
60,8
60,7
65,4
62,11
62,12
58,2
58,3
58,4
58,5
58,6
58,7
64,14
66,6
66,4
67,4
68,10
68,11
68,12
70,11
71,4
69,10
70,11
70,12
70,10
72,4
73,4
74,4
76,2
76,12
75,4
77,2
77,12
77,11
77,10
78,4
78,6
79,7
79,8
80,4
80,6
81,4
82,4
84,4
85,4
86,7
86,8
83,2
83,3
83,14
83,15
83,5
83,6
87,4
88,10
88,11
90,4
90,6
91,4
92,12
93,7
94,2
94,7
94,8
95,2
95,12
95,11
95,10
96,4
97,11
102,4
101,7
101,8
103,4
100,14
104,5
106,4
105,2
105,4
107,6
107,4
109,4
109,6
108,12
108,10
108,11
110,6
110,5
111,4
99,14
113,14
112,2
112,4
112,5
114,2
114,3
116,2
116,10
116,4
117,2
117,4
118,8
118,7
119,4
120,4
121,4
122,4
123,4
124,15
124,16
125,3
126,2
126,7
127,4
128,4
129,4
138,7
138,7
138,5
138,5
138,7
138,6
138,1
139,3
139,4
139,5
139,6
139,7
139,2
140,6
140,1
141,6
141,1
